270,16.87
270,32.70
270,47.53
271,61.49
272,74.65
271,86.92
271,98.43
271,109.21
271,119.32
271,128.80
272,137.75
270,146.02
272,153.89
271,161.21
271,168.07
272,174.57
272,180.66
270,186.24
270,191.48
271,196.45
272,201.17
271,205.53
271,209.63
271,213.46
271,217.06
271,220.43
273,223.71
271,226.67
271,229.44
271,232.04
271,234.47
271,236.76
271,238.90
271,240.90
271,242.78
272,244.61
272,246.32
272,247.93
271,249.37
270,250.66
271,251.93
271,253.12
271,254.24
271,255.29
271,256.27
271,257.19
271,258.05
272,258.92
270,259.62
271,260.33
271,260.99
272,261.68
272,262.33
271,262.87
271,263.38
270,263.79
272,264.30
272,264.79
271,265.17
271,265.54
271,265.88
272,266.26
270,266.50
271,266.78
271,267.04
272,267.35
270,267.52
271,267.73
271,267.94
271,268.13
271,268.31
270,268.41
271,268.58
271,268.73
271,268.87
272,269.07
271,269.19
272,269.36
271,269.46
271,269.56
271,269.65
271,269.73
271,269.81
271,269.89
272,270.02
272,270.14
272,270.26
271,270.31
271,270.35
271,270.39
271,270.43
271,270.46
271,270.50
271,270.53
271,270.56
272,270.65
272,270.73
272,270.81
271,270.82
270,270.77
270,270.72
271,270.74
270,270.70
271,270.71
271,270.73
271,270.75
272,270.83
271,270.84
271,270.85
270,270.79
271,270.81
272,270.88
271,270.89
271,270.90
272,270.97
271,270.97
272,271.03
272,271.09
271,271.09
271,271.08
271,271.08
272,271.13
272,271.19
271,271.18
273,271.29
270,271.21
270,271.13
272,271.19
270,271.11
271,271.11
272,271.16
272,271.21
271,271.20
271,271.19
272,271.24
272,271.29
272,271.33
272,271.37
271,271.35
271,271.33
272,271.37
271,271.35
271,271.33
271,271.31
270,271.22
272,271.27
270,271.19
271,271.18
271,271.17
270,271.10
271,271.09
271,271.08
271,271.08
271,271.07
271,271.07
272,271.13
271,271.12
272,271.17
271,271.16
271,271.15
271,271.14
271,271.14
271,271.13
271,271.12
272,271.17
271,271.16
272,271.22
271,271.20
271,271.19
271,271.18
271,271.17
271,271.16
271,271.15
272,271.20
271,271.19
271,271.18
272,271.23
